ID	Declustering Potential (DP)	Collision Energy (CE)	Observed mass (Da)	Exact mass (Da)	Accurate mass error (ppm)	Molecular formula	Ionization model	Ret. Time (min)	Precursor ions (Q1)	Product ions (Q3)	Main fragments	Compound name	Identification level	Class	CV_all	CV_PIM	CV_CER	CV_BIG	H2
SlFM0507	30	20				C16H13O5P	H+	1.36	317	137	136.8, 148.8, 94.8, 188.9, 298.8, 166.8	4-Methylumbelliferyl phenylphosphonate	putatively annotated	Others	1.33	1.17	1.38	1.25	0.44
SlFM0508	40	30						0.991	317.1	141	141.0, 256.8, 159.0, 182.9, 200.9, 274.8 				0.7	0.7	0.69	0.61	0.05
SlFM0509	40	50	318.3005	318.3003	0.72	C18H39NO3	H+	11.4	318.3	256.3	256.1, 219.0, 102.0, 300.0, 212.1, 88.0	4-Hydroxysphinganine	putatively annotated	Others	0.4	0.32	0.35	0.39	0.18
SlFM0510	40	20	319.3025					11.5	319.1	257	257.2, 256.2, 88.0, 102.0, 301.2, 69.9				0.27	0.19	0.25	0.27	0.22
SlFM0511	60	30	319.1515					4.87	319.1	276.9	276.9, 318.8, 231.0, 283.9, 259.0, 301.8				0.64	0.75	0.61	0.62	0.29
SlFM0513	50	30	321.1919					5.11	321.1	177	176.9, 145.0, 116.9, 149.0, 188.0				1.93	2.49	1.23	2	0.45
SlFM0516	40	30	322.2115			C17H27N3O3	H+	5.89	322.2	177.2	177.0, 320.9, 145.0, 116.9, 88.9, 149.0 	N-Feruloylspermidine	putatively annotated	Polyamine	1.26	0.62	0.73	1.45	0.58
SlFM0517	50	30	322.0654					18.7	322.1	183.9	183.9, 154.9, 152.0, 211.9, 124.9				0.28	0.26	0.26	0.27	0.27
SlFM0520	30	30						2.35	323.1	160	160				1.58	1.65	1.63	1.38	0.51
SlFM0521	40	50	323.1595					5.88	323.1	177	176.9, 145.1, 117.0, 89.0, 149.1, 88.5				1.01	0.86	0.88	1.07	0.88
SlFM0523	-60	-30					H-	14.2	322.1	130.1	130.1, 262.1, 164.1, 285.9, 206.6, 278.1 	JA-Ile	putatively annotated	Phytohormone	0.85	1.25	0.95	0.76	0.74
SlFM0524	40	30						8.3	324.1	144	144.0, 186.0, 158.0, 143.0, 162.0				0.76	0.92	0.76	0.71	0.69
SlFM0525	50	40	324.2863					12.3	324.1	176.1	176.0, 103.0, 79.0, 117.9, 146.0, 107.0				2.9	1.82	2.88	2.93	0.88
SlFM0528	60	40	326.2115					12.8	326.1	178.1	178.1, 103.0, 107.0, 79.0, 76.9, 91.0				3.28	2.33	3.34	3.14	0.86
SlFM0529	10	50						1.62	327.1	84	98.9, 152.0, 97.0, 111.9, 84.0 				1.17	1.39	1.3	1.05	0.6
SlFM0533	-40	-30					H-	5.68	325	163	163.0, 119.1, 118.0, 195.0, 289.2, 145.0 	p-Coumaric acid 4-O-hexoside	putatively annotated	Polyphenol	0.77	0.99	0.72	0.77	0.73
SlFM0539	30	40	329.1434				H+	4.77	329	121	310.8, 292.9, 265.0, 120.0, 121.0, 133.0 	N', N''-Di-p-hydroxybenxoylputrescine	putatively annotated	Polyamine	0.88	0.78	0.89	0.8	0.68
SlFM0555	-30	-30					H-	12.5	329.1	211.3	211.2, 229.2, 171.2, 183.1, 293.2, 209.1 	GA7-1	putatively annotated	Phytohormone	0.98	0.86	0.93	1	0.7
SlFM0558	60	30					H+	2.26	332.1	136.1	136.0, 331.8, 81.0, 157.9, 123.0, 83.9 	2'-Deoxyadenosine-5'-monophosphate	putatively annotated	Nucleic acid derivative	1.18	1.36	1.06	1.22	0.35
SlFM0559	60	30	332.1122				H+	2.26	332.1	152	152.0, 108.0, 313.8, 121.0, 124.0	Pyridoxine O-glucoside	putatively annotated	Vitamin	1.6	1.41	1.29	1.58	0.41
SlFM0565	30	30						10.4	333.1	212	212				1.83	0.88	2.23	1.57	0.78
SlFM0566	50	30						5.37	334.2	187.9	187.9, 146.0, 269.9, 130.0, 169.9, 315.8				0.59	0.72	0.68	0.52	0.63
SlFM0567	50	30						7.41	334.1	187.9	187.9, 146.0, 118.0, 144.0, 159.0, 224.9				0.67	0.62	0.64	0.63	0.8
SlFM0569	30	30						1.04	335.1	256.9	256.8, 141.0, 274.8, 159.0, 183.0, 215.0 				1.14	1.28	1.18	1.02	0.1
SlFM0572	50	30	337.1876			C16H24N4O4	H+	5.66	337.1	207.2	207.2, 147.0, 175.0, 118.9, 91.0, 319.9	N-Sinapoylagmatine	putatively annotated	Polyamine	1.61	0.78	0.93	1.81	0.56
SlFM0574	40	20	339.1547					2.31	339.1	159.8	159.8, 201.0, 320.8, 303.8, 159.1, 172.0				1.17	1.42	1.51	1.01	0.63
SlFM0575	-40	-20						7.99	337.1	175	175				0.95	1.41	0.98	0.9	0.79
SlFM0577	-40	-50					H-	8.1	337.1	191	191.0, 173.0, 163.1, 93.1, 145.0, 119.0 	4-Coumaroylquinic acid	putatively annotated	Polyphenol	0.83	1.17	0.88	0.78	0.59
SlFM0581	20	40						4.9	340.1	110	110.0, 256.9, 165.0, 188.0, 92.9				0.84	0.94	0.61	0.81	0.16
SlFM0582	50	10	340.2588					8.87	340.1	113.8	113.8, 209.0, 120.0, 239.9, 109.9				0.48	0.41	0.52	0.45	0.44
SlFM0583	-50	-30					H-	10.4	338	130	130	12OHJA-Ile-1	putatively annotated	Phytohormone	0.93	0.6	0.98	0.91	0.62
SlFM0584	40	20	340.2592					8.32	340.1	136	136.0, 114.0, 110.0, 94.0, 231.5				0.44	0.49	0.42	0.44	0.76
SlFM0585	50	30	340.2599	340.2595	1.27	C18H33N3O3	H+	7.24	340.1	322.2	136.0, 322.2, 114.0, 213.1, 96.9	Chinese bittersweet alkaloid II	putatively annotated	Others	0.55	0.4	0.57	0.53	0.36
SlFM0586	40	20						8.87	341.1	114	113.9, 113.3, 115.0, 96.1, 209.2, 210.2				0.48	0.33	0.49	0.46	0.48
SlFM0587	-40	-30					H-	6.09	339.1	177	177	Esculin	putatively annotated	Others	0.61	0.59	0.66	0.56	0.64
SlFM0588	-40	-20					H-	10.2	339.1	223.1	223.1	Sinapoyl malate	putatively annotated	Polyphenol	1.61	0.84	1.3	1.66	0.76
SlFM0589	50	30					H+	8.86	341	322	322	Fructose 1,6-diphosphate	putatively annotated	Saccharides	0.53	0.36	0.53	0.51	0.56
SlFM0590	40	30						3.1	342.1	180	180.0, 96.9, 105.0, 110.0, 136.0				6.15	4.81	5.57	1.08	0.46
SlFM0591	60	30						9	342.1	309.9	309.9, 135.0, 107.0, 254.0, 177.0				0.76	0.52	0.82	0.75	0.73
SlFM0592	-60	-30		365.1054		C22H22O11	H-	1.68	341.1	101	161.0, 101.0, 107.0, 89.0, 151.9 	D-(+)-Trehalose	putatively annotated	Saccharides	0.95	1.35	1.02	0.88	0.48
SlFM0594	40	30					H+	2.29	343	121	121	N', N''-Di-p-hydroxybenxoylcadaverine	putatively annotated	Polyamine	1.06	1.05	0.97	1.07	0.59
SlFM0597	40	30						12.1	343.1	151	150.9, 160.0, 150.0, 93.0, 148.9, 235.8				3.1	1.48	1.78	4.35	0.81
SlFM0600	-40	-50					H-	6.05	341.1	179.1	179.0, 161.1, 177.1, 135.0, 149.2, 221.1 	β-D-glucopyranosyl-caffeic acid	putatively annotated	Polyphenol	0.55	0.66	0.6	0.51	0.53
SlFM0601	-50	-50					H-	5.31	341.1	179.2	179.1, 161.0, 178.1, 74.9, 100.9, 107.0 	Coniferin	putatively annotated	Others	0.74	0.8	0.7	0.73	0.66
SlFM0602	60	20						2.26	343.1	181	181.0, 180.0, 110.0, 84.0, 163.0, 179.0				2.09	1.15	1.04	2	0.57
SlFM0603	50	30						14.1	343.1	240	240.0, 157.0, 282.0, 95.1, 292.8				1.1	0.67	1.28	0.97	0.72
SlFM0604	50	10	344.1346					6.61	344.1	146.8	146.8, 119.0, 164.9, 91.1, 118.3, 147.3				0.62	0.52	0.58	0.57	0.27
SlFM0605	20	30						12.1	344.1	152	152.0, 151.0, 161.0, 93.0, 150.0, 160.0				3.23	1.5	1.8	4.59	0.84
SlFM0607	40	30						5	344.1	181.8	181.8, 307.8, 325.8, 164.9, 279.9				0.99	1.6	0.99	0.75	0.58
SlFM0608	50	30						14.1	344.1	241	241.0, 240.0, 95.0, 109.0, 290.9 				1.13	0.68	1.3	1.02	0.76
SlFM0613	40	40						6.15	346.1	107	107.0, 97.0, 85.0, 214.9, 173.0, 108.9				0.96	1.12	1.03	0.92	0.38
SlFM0615	40	20						4.63	346.1	165.8	184.0, 152.0, 166.0, 120.0, 138.0, 149.0 				1.02	0.94	1.01	0.94	0.55
SlFM0617	-40	-40						1.08	344.1	202	202.1, 201.0, 157.0, 157.9, 58.1, 59.0 				1	1.26	1.02	0.89	0.1
SlFM0618	30	20						5.71	346.1	207	166, 206.9, 147, 83, 161				0.94	0.69	0.65	0.95	0.85
SlFM0619	30	20						11.8	346.1	275	274.9, 109.0, 91.0, 107.0, 95.0, 79.0				1.18	0.69	1.2	1.15	0.63
SlFM0620	20	20						13.4	346.1	293	293.0, 346.0, 310.9, 157.1, 275.0, 109.0				1.99	1.13	1.23	2.25	0.66
SlFM0621	30	20						15.1	346.1	293.1	292.9, 274.9, 109.0, 95.0, 310.9				1.76	1.26	1.27	1.91	0.64
SlFM0624	-40	-30						1.07	345.1	203	203.0, 201.1, 202.1, 159.0, 157.1, 58.7 				0.97	1.22	0.98	0.87	0.11
SlFM0625	-40	-20					H-	2.47	346.1	79	78.9, 211.0, 96.9, 134.0, 78.2, 76.6 	Adenosine 3'-monophosphate	standard	Nucleic acid derivative	1.19	1.59	1.23	1.13	0.34
SlFM0626	-60	-40					H-	2.47	346.1	134	133.9, 78.9, 96.9, 211.1, 150.9 	Kinetin-9-riboside	putatively annotated	Nucleic acid derivative	1.53	1.73	1.68	1.45	0.43
SlFM0630	40	40						6.66	348.1	221.9	222.0, 122.9, 293.0, 165.0, 112.1, 122.2				1.31	0.95	0.76	1.49	0.82
SlFM0631	20	20	348.2739	348.2744	1.58	C18H37NO5	H+	12.4	348.1	277	277.0, 135.9, 195.0, 149.0, 159.1 	Tianshic acid	putatively annotated	Fatty acid	0.95	0.74	0.89	0.96	0.22
SlFM0632	30	20						7.21	348.1	330	329.9, 136.0, 312.0, 294.0, 91.0, 276.0				0.8	0.54	0.72	0.72	0.87
SlFM0633	40	30	349.0471				H+	2.26	349.1	137	137.0, 136.0, 97.0, 98.0, 135.1	Inosine-5'-monophosphate	standard	Others	0.88	0.82	0.85	0.88	0.55
SlFM0635	60	30						9.3	350.1	303.9	303.9, 285.9, 120.0, 119.0, 268.0				1.75	1.08	1.4	1.89	0.83
SlFM0638	20	30						6.69	352.1	137	136.9, 109.0, 81.0, 79.0, 155.0, 91.0				0.52	0.47	0.5	0.52	0.21
SlFM0639	50	30				C15H21N5O5	H+	6.89	352.3	220	220	trans-Zeatin-riboside	putatively annotated	Phytohormone	0.66	0.6	0.58	0.58	0.74
SlFM0646	40	40						9.68	354.1	97	96.9, 230.9, 353.9, 126.9, 80.9, 84.9				0.9	1	1.04	0.7	0.19
SlFM0647	40	40	354.3269					7.02	354.1	157	157.0, 83.0, 111.0, 139.0, 97.0, 85.0				0.7	0.83	0.65	0.67	0.48
SlFM0648	40	60	355.3426				H+	7.01	355.1	162.8	162.9, 145.0, 89.0, 135.0, 116.9, 162.0	Chlorogenic acid	putatively annotated	Polyphenol	0.86	0.73	0.86	0.83	0.2
SlFM0651	-40	-10					H-	7.07	353.1	191	191.0, 173.1, 179.1, 161.1, 135.0 	4-O-Caffeoylquinic acid 	putatively annotated	Polyphenol	0.9	0.72	0.81	0.86	0.42
SlFM0652	40	50						7.01	356.1	163	163.0, 163.9, 146.1, 89.0, 136.0, 135.0				1.18	0.84	1.15	0.99	0.52
SlFM0656	20	30	357.118	357.118	0.02	C16H20O9	H+	7.06	357.1	177.1	176.9, 144.9, 88.9, 116.9, 149	Ferulic acid O-hexoside	putatively annotated	Polyphenol	1.17	1.13	1.15	1.04	0.83
SlFM0665	50	20						7.1	358.1	199	199.0, 86.0, 245.0, 200.9, 321.8				1.79	0.67	0.99	1.91	0.49
SlFM0669	10	20						7.74	359.1	260.8	260.9, 243.0, 87.9, 184.1, 98.9				1.87	2.7	2.43	1.63	0.43
SlFM0670	30	20						9.68	359.1	314.9	314.9, 272.9, 160.0, 260.9, 270.8, 178.0				0.91	0.95	1.09	0.73	0.73
SlFM0672	20	20					H+	1.69	360.1	145	145	Sucrose	Standard	Saccharides	2.22	1.45	1.39	2.42	0.42
SlFM0673	50	30						5.99	360.1	185.1	163.0, 185.1, 145.1, 157.1, 203.0, 143.1 				4.68	1.63	3.09	4.81	0.79
SlFM0675	-40	-20				C18H16O8	H-	5.13	359	161	161	Rosmarinic acid	putatively annotated	Others	0.59	0.74	0.67	0.51	0.69
SlFM0676	40	30						6.38	362.1	123	122.9, 165.0, 361.9, 97.0, 84.9, 137.0 				0.74	0.65	0.7	0.76	0.31
SlFM0677	40	30	362.1443					5.99	362.1	123.1	122.9, 165.0, 97.0, 84.9, 137.0				0.82	0.76	0.76	0.82	0.28
SlFM0678	20	30						2.29	362.1	165	164.9, 136.0, 147.0, 84.0, 118.9				1.39	1.19	1.13	1.28	0.55
SlFM0679	60	40						11.4	362.1	300	256.2, 300.1, 344.1, 102.0, 88.0, 212.2				0.36	0.29	0.3	0.34	0.17
SlFM0680	30	20						6.04	363.1	115	114.9, 87.0, 165.9, 97.0, 158.9				1.32	1.04	1.05	1.48	0.62
SlFM0686	-60	-50					H-	2.23	362.1	79	211.0, 79.0, 78.4, 96.7, 344.0, 326.1 	Guanosine 5'-monophosphate	putatively annotated	Nucleic acid derivative	0.85	0.93	0.8	0.84	0.42
SlFM0690	20	20	365.1482					10.2	365.1	182.9	98.9, 183.0, 155.0, 98.2, 126.9, 97.3				0.57	0.32	0.68	0.52	0.4
SlFM0691	-50	-30						7.58	363.1	183.1	183.2, 201.1, 345.2, 257.2, 317.2, 303.3 				1.45	0.88	1.18	0.68	0.7
SlFM0695	50	30						6.73	366.1	204.1	136.0, 204.1, 148.0, 135.1, 81.0				0.58	0.4	0.47	0.54	0.63
SlFM0696	30	20					H+	5.1	366.2	204.2	204.0, 186.0, 248.9, 158.1, 136.0	iP9G	putatively annotated	Others	0.98	0.65	0.69	0.78	0.71
SlFM0697	40	20	367.1496					5.39	367.1	187.9	229.0, 188.0, 146.1, 156.1, 348.8, 144.1				0.67	0.57	0.73	0.61	0.64
SlFM0701	20	40						9.24	368.1	97	96.9, 230.8, 126.9, 86.9, 81.0				1.36	1.36	1.42	1.04	0.54
SlFM0702	40	40						10.9	368.1	97.1	96.9, 84.9, 367.9, 108.9, 86.9, 80.9				0.83	1.15	0.98	0.69	0.48
SlFM0703	30	20						5.4	368.1	230	230.0, 349.8, 147.1, 189.0, 332.8, 146.1 				0.7	0.66	0.78	0.63	0.63
SlFM0704	30	30						9.23	369.1	97	97				1.39	1.21	1.44	1.1	0.68
SlFM0707	-40	-30				C17H20O9	H-	8.91	367	191	191.1, 213.0, 349.0, 153.0, 323.0, 307.1 	5-Feruloylquinic acid	putatively annotated	Polyphenol	0.82	1.14	0.69	0.69	0.61
SlFM0709	-40	-30					H-	8.5	367	191.1	191.1, 163.0, 119.0, 213.0, 153.0 	4-O-Feruloylquinic acid	putatively annotated	Polyphenol	0.83	1.18	0.7	0.71	0.38
SlFM0713	40	40	370.1516					4.68	370.1	191	190.9, 207.9, 137.0, 109.0, 86.9, 155.0				1.46	0.84	1.44	1.42	0.84
SlFM0715	60	20						2.26	371.1	136	136				1.37	1.47	1.28	1.26	0.7
SlFM0716	-20	-20					H-	9.06	369.1	147.1	147.1	Sinapaldehyde glucoside	putatively annotated	Polyphenol	2.1	0.9	1.71	2.14	0.84
SlFM0717	20	30						2.33	371.1	160	160				1.34	2	0.96	1.23	0.25
SlFM0719	40	30						5.33	371.1	187.9	187.9, 146.0, 268.7, 118.0, 229.0, 354.7 				0.66	0.57	0.6	0.61	0.22
SlFM0720	30	20						8.39	371.1	191	191.0, 151.1, 121.0, 149.1, 107.0, 173.0				0.59	1.08	0.64	0.52	0.68
SlFM0721	30	30						4.69	371.1	191.9	191.9, 231.9, 268.7, 87.9, 213.9, 191.0 				0.93	0.78	0.91	0.93	0.71
SlFM0724	50	30	372.2128					5	372.1	209.9	210.0, 95.0, 192.0, 112.0, 69.9				1.14	0.7	0.88	1.29	0.84
SlFM0733	30	60						9.13	374.1	91	90.9, 96.9, 230.8, 108.9, 126.9				0.87	0.86	0.9	0.82	0.46
SlFM0735	40	20						2.26	374.1	165	165				1.29	1.41	1.27	1.19	0.54
SlFM0736	40	20	374.1441					6.95	374.1	176.9	176.9, 145.0, 117.0, 149.1, 194.9, 89.0				0.77	0.67	0.92	0.71	0.57
SlFM0737	40	30	374.1082	374.1082	0.07	C15H19NO10	H+	5.74	374.2	198.2	197.9, 123.9, 179.9, 176.9, 185.0 	DIMBOA glucoside	putatively annotated	Terpenoid	1.99	1.23	2.43	1.12	0.83
SlFM0740	20	30						8.92	375.1	300.8	300.8				0.67	0.48	0.71	0.66	0.57
SlFM0741	20	30						6.5	376.1	136.6	137.0, 179.0, 136.2, 96.9, 85.0, 199.0 				0.94	1.47	1.03	0.8	0.5
SlFM0742	40	30						7.18	377.1	129	128.9, 108.9, 111.0, 81.0, 97.0, 84.9 				1.18	0.91	0.95	1.23	0.74
SlFM0743	30	40						4.89	377.1	144	144.0, 376.8, 143.0, 84.0, 150.0, 152.0				1.97	2.17	1.91	1.85	0.35
SlFM0744	50	40				C17H20N4O6	H+	7.11	377.1	243.1	243.1	(-)-Riboflavin	standard	Vitamin	0.88	1.06	0.93	0.82	0.61
SlFM0745	40	30						1.27	377.1	278.6	278.7, 256.8, 140.9, 274.8, 136.8, 200.9 				0.92	1.09	0.96	0.86	0.24
SlFM0746	50	30						7.24	378.1	185	185				2.66	0.76	1.74	2.98	0.77
SlFM0747	40	30						1.31	378.1	279.7	279.7, 257.8, 278.7, 141.9, 136.9, 275.8 				0.92	1.04	0.98	0.86	0.3
SlFM0748	40	30					H+	5.29	379	147	147	N', N''-p-Coumaroyl, p-cinnamoylcadaverine	putatively annotated	Polyamine	0.73	0.46	0.71	0.73	0.65
SlFM0749	40	30						1.04	379.1	175	258.8, 174.9, 142.9, 318.7, 140.9, 184.9				1	1.06	1.07	0.91	0.17
SlFM0751	40	30						2.9	380	87	232.9, 87.0, 103.9, 83.9, 115.9, 161.9				3.23	2.32	3.95	2.95	0.5
SlFM0755	40	40	380.148					5.11	380.1	233.9	233.9, 215.9, 120.0, 304.8, 115.9, 161.9				0.88	0.89	1.01	0.8	0.65
SlFM0756	50	30					H+	5.11	381	131	131	N', N''-Caffeoyl, p-cinnamoylputrescine	putatively annotated	Polyamine	0.86	0.84	0.99	0.79	0.7
SlFM0760	40	50						4.81	382.1	81	235.9, 219.9, 81.0, 144.0, 217.9, 83.9 				1.19	1.01	1.27	1	0.81
SlFM0764	50	30						13.7	382.1	189	189.1, 363.9, 105.0, 147.1, 119.0, 133.0				1.81	0.67	1.08	1.84	0.95
SlFM0765	40	40	382.1727	382.1721	1.54	C16H23N5O6	H+	5.05	382	220	219.9, 202.1, 184.1, 90.0, 124.0, 166.1	trans-Zeatin O-glucoside	putatively annotated	Phytohormone	0.59	0.54	0.51	0.6	0.35
SlFM0768	20	30						5.91	382.1	223	110.0, 250.9, 220.0, 178.0, 223.0 				0.88	0.69	1	0.82	0.83
SlFM0770	20	20						1.51	383.1	202.9	202.9, 155.0, 143.0, 201.9, 82.9				1.1	1.25	1.1	1.03	0.52
SlFM0773	10	50						7.18	384.1	109	109.0, 169.0, 127.0, 133.0, 105.0, 108.3				0.57	0.56	0.62	0.55	0.3
SlFM0774	40	30						10.2	384.1	184	184.0, 383.9, 124.9, 365.9, 86.0, 200.9				1.05	1	1.35	0.92	0.84
SlFM0776	60	30						1.45	384.1	212.6	212.7, 203.9, 250.7, 143.9, 202.8				1.06	1.24	1.15	0.98	0.45
SlFM0777	40	40	384.1151	384.115	0.3	C14H17N5O8	H+	5.6	384.2	252	251.9, 162.0, 188.0, 383.8, 192.0, 233.9	Succinyladenosine	putatively annotated	Nucleic acid derivative	1.56	0.75	1.24	1.35	0.79
SlFM0778	50	30				C14H20N6O5S	H+	2.35	385.1	136.1	136.0, 128.9, 160.0, 110.9, 87.9, 138.9	S-Adenosyl-L-homocysteine	putatively annotated	Amino acid derivative	1.09	1.06	1.03	1.1	0.41
SlFM0782	50	10					H+	14.7	387.1	105.1	104.9, 104.3, 103.0, 93.1, 121.0, 79.1	1-O-b-D-glucopyranosyl sinapate	putatively annotated	Polyphenol	3.9	1.08	4.69	3.71	0.36
SlFM0785	60	40				C27H46O	H+	15.8	387	175	174.9, 330.8, 274.9, 226.9, 147.1 	Cholesterol	standard	Fatty acid	0.64	0.42	0.56	0.69	0.17
SlFM0786	-50	-30					H-	7.12	385.1	205	205	1-O-b-D-glucopyranosyl sinapate	putatively annotated	Polyphenol	1.18	0.96	0.85	0.8	0.87
SlFM0788	40	30	387.2013	387.2013	0.11		H+	7.33	387.2	207.2	206.9, 174.9, 147.0, 118.9, 91.0	Roseoside	putatively annotated	Others	0.66	0.63	0.62	0.67	0.68
SlFM0789	-40	-30					H-	6.51	385	223	223	Sinapic acid-O-glucoside	putatively annotated	Polyphenol	0.49	0.47	0.48	0.45	0.33
SlFM0793	40	20					H+	10.1	388.1	105.1	105.1	2'-Deoxycytidine-5'-diphosphate	putatively annotated	Nucleic acid derivative	0.81	1.06	0.9	0.58	0.41
SlFM0794	60	20					H+	14.6	388.1	105.1	105.0, 106.0, 104.2, 300.8, 165.0, 103.0	dUDP	putatively annotated	Nucleic acid derivative	3.44	1.03	3.92	3.38	0.28
SlFM0796	60	20						9.59	388.1	256.8	256.8, 226.9, 183.0, 153.0, 354.7, 155.0				1.39	1.28	0.95	1.16	0.84
SlFM0797	10	20						11.4	388.1	256.9	256.8, 153.0, 226.8, 354.7, 155.0, 268.7				1.21	1.17	1.05	1.22	0.51
SlFM0798	40	40	388.1292					14.9	388.1	300.7	165.1, 300.8, 242.0, 258.0, 273.0				2.03	1.09	1.49	2.65	0.81
SlFM0802	10	50						7.94	389.1	120	120.0, 166.0, 201.9, 188.0, 159.0, 226.9				0.79	0.95	0.82	0.68	0.44
SlFM0807	30	30	389.2399					5.73	389.1	215	215.0, 129.0, 233.0, 225.0, 370.9, 197.1				0.88	0.87	0.98	0.76	0.8
SlFM0808	60	30						14.5	389.2	301.8	301.8, 165.0, 166.0, 300.8, 242.9				2.22	1.09	1.51	3.02	0.86
SlFM0810	40	20						1.65	390.1	111.9	111.7, 129.9, 108.3, 95.1, 84.1, 110.3 				1.11	1.41	1.4	0.98	0.57
SlFM0812	60	30						14.9	390.1	302.7	302.8, 165.0, 243.9, 259.8, 274.8 				2.07	1.09	1.47	2.75	0.86
SlFM0813	50	20						10.8	390.1	371.9	371.9, 175.0, 356.8, 204.9, 104.9, 206.9				0.97	0.72	0.78	1.01	0.76
SlFM0815	-50	-30						5.52	389.2	96.9	291.1, 97.0, 313.1, 227.1, 293.1 				1.63	1.24	1.59	1.55	0.44
SlFM0818	50	50						8.17	392.1	120	120.0, 164.9, 233.0, 284.8, 278.9, 149.0				0.85	0.9	0.81	0.84	0.86
SlFM0819	20	30						6.6	392.1	211.9	212.0, 230.0, 116.0, 169.1, 153.0, 69.9				1.56	0.89	1.45	0.98	0.81
SlFM0820	40	20						6.23	392.1	244.9	244.9, 116.9, 162.0, 316.8, 84.0, 148.0				0.76	0.71	0.79	0.75	0.74
SlFM0827	50	10	394.0959					7.79	394.1	152.8	153.0, 161.1, 160.1, 272.9, 159.1				1.43	1.33	1.5	1.39	0.95
SlFM0828	40	20	394.1648					5.5	394.1	161.9	162.0, 247.9, 318.8, 115.9, 144.0, 264.9 				1.18	0.85	1.44	1	0.71
SlFM0829	40	50						6.14	394.2	161.9	161.9, 179.0, 264.9, 144.0, 232.9, 115.9				1.08	0.78	1.24	0.94	0.78
SlFM0834	50	30					H+	6.13	395	163	162.0, 163.0, 248.9, 319.8, 115.9, 265.9 	N', N''-p-Cinnamoyl, caffeoylcadaverine	putatively annotated	Polyamine	0.9	0.69	1.05	0.78	0.75
SlFM0838	40	20						9.15	397.1	209.3	96.1, 112.9, 88.0, 208.9, 73.8, 114.9 				0.44	0.31	0.45	0.43	0.55
SlFM0840	30	50						2.43	398.1	86	160.0, 86.0, 132.0, 152.0, 136.0 				0.71	0.72	0.74	0.62	0.55
SlFM0841	40	30						3.14	398	105	105.0, 114.9, 122.0, 104.2, 103.0, 97.0				3.04	3.14	3.62	2.84	0.59
SlFM0842	50	20						1.46	398.1	212.7	212.7, 261.7, 250.8, 223.7, 214.6, 263.7 				0.95	1.03	1.05	0.91	0.48
SlFM0845	40	20				C15H22N6O5S1	H+	1.55	399	250	249.9, 136.0, 218.9, 297.8, 96.9, 102.0	S-Adenosyl-L-methionine	putatively annotated	Amino acid derivative	0.95	1.09	1.08	0.89	0.29
SlFM0846	40	40						1.02	399.1	282.7	282.7, 240.8, 356.7, 338.7, 200.9, 140.9 				1.25	1.4	1.21	1.08	0.15
SlFM0847	30	20					H+	2.41	400.2	132.2	86.0, 132.0, 234.8, 160.0, 250.9	Leucine derivative	putatively annotated	Amino acid derivative	0.82	0.68	0.87	0.8	0.55
SlFM0849	40	20	400.2435					7.49	400.1	237.9	238.0, 95.0, 112.0, 94.4, 220.2				1.13	0.85	0.96	1.24	0.95
SlFM0852	40	30						9.33	401.1	302.7	114.0, 302.8, 209.0, 228.0, 96.0, 227.0 				1.88	2.16	2.09	1.65	0.37
SlFM0856	40	30						6.15	403.1	187	187.0, 232.9, 86.0, 143.1, 197.0, 225.0 				0.74	0.64	0.81	0.71	0.79
SlFM0857	20	20						5.8	403.1	233	232.9, 143.1, 225.0, 197.1, 86.0				0.97	0.77	1.17	0.9	0.84
SlFM0858	-40	-30						6.95	401.1	239.1	239.1, 195.1, 177.2, 221.1, 159.0, 174.8 				0.66	0.42	0.61	0.62	0.65
SlFM0860	-50	-30						0.983	401.2	359	359.0, 259.0, 156.9, 170.7, 275.0 				1.14	1.39	1.17	0.98	0.42
SlFM0862	40	40						14.7	404.1	105	105.0, 93.0, 120.9, 229.0, 91.0, 104.2 				1.28	0.83	1.24	1.35	0.48
SlFM0863	30	30						7.19	404.1	206.8	206.9, 164.9, 147.0, 161.0, 300.8 				0.6	0.71	0.6	0.55	0.22
SlFM0864	30	30				C17H22O10	H+	6.45	404.1	207.1	206.9, 147.0, 175.0, 192.0, 119.0, 91.0 	Sinapoyl O-hexoside	putatively annotated	Polyphenol	0.55	0.64	0.63	0.48	0.29
SlFM0865	20	20						15.7	404.1	371.8	371.8, 328.8, 343.8, 229.0, 156.0, 276.9 				2.68	1.9	1.71	3.2	0.87
SlFM0866	40	30					H+	14.6	404	387.2	387.2	Cytidine-5'-diphosphate	putatively annotated	Nucleic acid derivative	0.4	0.28	0.37	0.41	0.26
SlFM0867	20	30						14.7	405.1	105	269.9, 91.0, 352.0, 104.9, 229.0 				2.08	0.52	2.09	2.18	0.31
SlFM0871	30	20						5.5	405.1	219	159.1, 219.0, 173.0, 201.0, 86.0, 273.9 				1.03	1.18	1.18	0.9	0.77
SlFM0875	50	40						9.39	406.1	140	140.0, 114.0, 164.9, 158.0, 209.0, 284.8 				1.25	2.22	1.07	1.15	0.93
SlFM0877	40	40	406.1682					6.82	406.1	208.9	131.0, 191.0, 208.9, 149.1, 145.1, 107.1 				0.82	0.94	0.64	0.76	0.35
SlFM0878	40	40						7.11	406.1	209	209.0, 191.0, 173.0, 258.9, 227.0 				1.19	1.05	1.01	1.1	0.53
